ARPTDB 1.000000
KCEZ 37.303002500 -108.628042000 5916 18000 18000
KCHA 35.035653500 -85.203489500 683 18000 18000
KCHO 38.139641100 -78.452322250 639 18000 18000
KCHS 32.898121975 -80.040531825 42 18000 18000
KCIC 39.795258575 -121.858883925 234 18000 18000
KCID 41.884737925 -91.710291975 869 18000 18000
KCIU 46.251430300 -84.472702075 797 18000 18000
KCKA 36.735737600 -98.123627950 1202 18000 18000
KCKB 39.297657400 -80.227531650 1215 18000 18000
KCLE 41.410297633 -81.853390983 791 18000 18000
KCLL 30.588752850 -96.364197300 319 18000 18000
KCLT 35.213855500 -80.948491375 749 18000 18000
KCMH 39.997577150 -82.892311050 813 18000 18000
KCMI 40.038242233 -88.276644800 754 18000 18000
KCNM 32.338608812 -104.262825275 3292 18000 18000
KCNO 33.974948667 -117.636675267 648 18000 18000
KCNW 31.637461875 -97.074314800 470 18000 18000
KCNY 38.761269025 -109.751410525 4587 18000 18000
KCOD 44.520186500 -109.023804500 5102 18000 18000
KCOE 47.774122875 -116.818971900 2319 18000 18000
KCOF 28.236342500 -80.609821725 5 18000 18000
KCOS 38.807207833 -104.702264700 6187 18000 18000
KCPR 42.906072350 -106.463790950 5347 18000 18000
KCPS 38.571251500 -90.156671200 413 18000 18000
KCQF 30.460501700 -87.877022900 95 18000 18000
KCRP 27.772234250 -97.501823475 41 18000 18000
KCRW 38.375939650 -81.592974700 979 18000 18000
KCSG 32.516132625 -84.939885475 395 18000 18000
KCSM 35.338811800 -99.199722975 1919 18000 18000
KCVG 39.049496125 -84.668291375 895 18000 18000
KCVN 34.424791867 -103.078811500 4213 18000 18000
KCVS 34.382387225 -103.322285500 4292 18000 18000
KCWA 44.777241625 -89.667294175 1275 18000 18000
KCWF 30.210605450 -93.143214300 17 18000 18000
KCXO 30.353194000 -95.415425000 245 18000 18000
KCYS 41.155642450 -104.811661300 6153 18000 18000
KDAB 29.179917700 -81.055945950 34 18000 18000
KDAL 32.846165750 -96.850705000 483 18000 18000
KDAY 39.901838800 -84.218084183 1006 18000 18000
KDCA 38.851396167 -77.037732417 15 18000 18000
KDDC 37.762749250 -99.965101750 2594 18000 18000
KDEC 39.834656167 -88.866663100 682 18000 18000
KDEN 39.860982183 -104.671904017 5434 18000 18000
